Name,Team,Level,Age,AB,PA,H,1B,2B,3B,HR,RBI,SB,R,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Rodolfo Castro","PHI","AAA",26,456,525,107,61,26,1,19,82,18,72,0.102857142,0.226666666,0.453781512,0.234649122,0.323809523,0.421052631,0.744862154,0.186403509,5.1160275666068245,0.271604938,-1.1107104159891605,66.36643295233885,-2.3386974161322915,0.33389124495642525,97.2441378342687,"21987"
"Nick Pratto","KCR","AAA",26,372,423,73,43,19,2,9,42,8,49,0.108747044,0.295508274,0.368,0.196236559,0.289099526,0.330645161,0.619744687,0.134408602,5.878421108600183,0.267782426,0.8217650912702084,36.66238575050772,-18.694319289231895,0.28661100064973694,62.83103574578634,"22117"
"Ryan Vilade","CIN","AAA",26,397,461,115,65,29,4,17,66,11,75,0.108459869,0.193058568,0.561797752,0.289672544,0.378260869,0.511335012,0.889595881,0.221662468,6.394859372524797,0.332203389,0.2356284074485302,81.06405692071198,20.73440911144492,0.3926807013542756,134.69082028287932,"22165"
"Akil Baddoo","DET","A,AAA",26,408,484,114,71,21,6,16,52,27,75,0.144628099,0.241735537,0.598290598,0.279411764,0.38429752,0.477941176,0.862238696,0.198529412,7.508556492162509,0.35125448,2.327211182564497,82.05933962299285,18.811664561766968,0.38563840384315506,135.201851992077,"22168"
"MJ Melendez","KCR","AAA",26,433,480,113,57,33,3,20,64,20,70,0.08125,0.28125,0.288888888,0.260969976,0.322916666,0.48960739,0.812524056,0.228637414,6.504549443155149,0.328621908,-0.49923352617770433,68.99353496761046,6.177415773579697,0.3545026489843925,106.45322565937776,"22197"
"Luis Campusano","SDP","AAA",26,393,475,132,81,25,1,25,95,2,83,0.151578947,0.172631578,0.87804878,0.335877862,0.440677966,0.595419847,1.036097813,0.259541985,3.2090221071463545,0.370242214,-0.7741395938210189,109.06274113812074,39.30290881552324,0.45021863445892174,149.40946117382734,"22217"
"Samad Taylor","SEA","AAA",26,558,657,165,114,27,7,17,86,44,124,0.111111111,0.187214611,0.593495934,0.295698924,0.378125,0.460573476,0.838698476,0.164874552,8.154230956974915,0.349881796,2.195237786974758,106.07343016851279,9.584567355993718,0.3756715771742165,113.59687473078763,"22274"
"Michael Siani","STL","AAA",25,368,430,77,53,12,4,8,41,28,64,0.116279069,0.246511627,0.471698113,0.20923913,0.306791569,0.328804347,0.635595916,0.119565217,8.053073165537073,0.266409266,2.4062633169814944,40.40595259121469,-15.866820853437869,0.29529019094462694,71.19707465702707,"22557"
"Jorbit Vivas","NYY","AAA",24,374,459,101,75,21,1,4,43,12,59,0.139433551,0.098039215,1.422222222,0.270053475,0.388520971,0.363636363,0.752157334,0.093582888,4.110277256430604,0.294832826,-2.9799104584380984,65.62371194639768,5.555797967105756,0.35359192461566585,109.854369444706,"23917"
"Jorge Barrosa","ARI","AAA",24,394,456,116,78,29,2,7,58,10,67,0.118421052,0.208333333,0.568421052,0.294416243,0.378318584,0.431472081,0.809790665,0.137055838,5.016772586643516,0.369491525,-1.0577148552984,70.04572648388955,3.0762874541959406,0.3670938954649373,96.45235234281655,"23968"
