Name,Team,Level,Age,AB,PA,H,1B,2B,3B,HR,R,RBI,SB,K%,BB%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"James McCann","ATL","AA,AAA",35,151,164,46,27,13,0,6,19,32,1,0.25,0.060975609,0.243902439,0.304635761,0.341463414,0.509933774,0.851397188,0.205298013,2.7107090349185174,0.373831775,-0.11545673850923777,25.603000873283495,4.225697123960606,0.3713900948443064,123.80480717525656,"12859"
"Michael Perez","ARI","AAA",32,66,74,18,12,4,0,2,4,9,0,0.256756756,0.081081081,0.315789473,0.272727272,0.351351351,0.424242424,0.775593775,0.151515152,0.14285714,0.355555555,-0.14957192353904247,10.283754289461514,-0.5840932723747296,0.35108141480265437,86.47926389442814,"12977"
"Ildemaro Vargas","ARI","AAA",33,216,241,55,39,8,3,5,29,36,4,0.091286307,0.087136929,0.954545454,0.254629629,0.327800829,0.388888888,0.716689717,0.134259259,5.8502140443567585,0.263157894,-0.18878659466281533,27.789648424737894,-7.604287553674733,0.32520235524632624,70.36095247474245,"13324"
"Jake Lamb","SFG","AAA",34,150,176,36,23,11,0,2,22,20,0,0.25,0.119318181,0.477272727,0.24,0.352272727,0.353333333,0.70560606,0.113333333,1.79058440875,0.326923076,-0.36645121267065406,21.53083480790481,-4.317018852678684,0.3328857577659867,93.23829586613633,"13329"
"Omar Narvaez","CHW","AA,AAA",33,252,304,64,49,10,0,5,31,35,0,0.167763157,0.144736842,0.862745098,0.253968253,0.375,0.353174603,0.728174603,0.09920635,1.09552704,0.297979797,-0.7639520326629281,41.24343182251584,-2.0601985965596517,0.34649683299817535,99.03147915288483,"13338"
"Luke Maile","KCR","AAA",34,82,101,23,19,3,0,1,13,12,2,0.217821782,0.178217821,0.818181818,0.280487804,0.415841584,0.353658536,0.76950012,0.073170732,4.0210849027118405,0.372881355,0.07855514250695705,15.717683310152097,2.5001248964081255,0.36864164501133534,115.53790669163931,"13355"
"Jeimer Candelario","CIN","AAA,CPX",31,290,330,61,33,20,0,8,38,44,0,0.287878787,0.1,0.347368421,0.210344827,0.303030303,0.362068965,0.665099268,0.151724138,1.994845021835269,0.281914893,-1.0503071378916502,33.88480264859424,-9.435908308456089,0.3055234564073158,78.09063296660689,"13621"
"Jack Lopez","SEA","AAA",32,357,396,83,60,14,0,9,56,52,13,0.28030303,0.05050505,0.18018018,0.232492997,0.275324675,0.347338935,0.62266361,0.114845938,6.190540188959588,0.305785123,1.9792765560559928,28.98567551349294,-29.171995222819927,0.27913876911262414,53.47313417650539,"13663"
"Tomas Nido","DET","AAA",31,172,189,36,25,6,0,5,19,21,0,0.243386243,0.058201058,0.239130434,0.209302325,0.267379679,0.331395348,0.598775027,0.122093023,1.60119047125,0.25409836,-0.3299039388075471,14.154936213059917,-10.578910719589697,0.27259767852365013,62.95263105704437,"13755"
"Travis Jankowski","NYM","AAA",34,65,75,15,12,1,0,2,13,7,4,0.16,0.133333333,0.833333333,0.23076923,0.333333333,0.338461538,0.671794871,0.107692308,5.790146452057568,0.25490196,0.1561772134155035,8.296504597744775,-1.5185140263225323,0.3151026264826457,80.01069691117759,"13768"
